No.,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他,Googleマップ,,,,
83,（株）サンデー　ホームマート小坂店,017-0201,鹿角郡小坂町,小坂字中前田55番地1,,0186-30-7900,21.その他,ホームセンター,https://www.google.com/maps/search/?api=83&query=鹿角郡小坂町小坂字中前田55番地1,,,,
84,マックスバリュ小坂店,017-0202,鹿角郡小坂町,小坂鉱山字栗平25-1,,0186-29-3551,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=84&query=鹿角郡小坂町小坂鉱山字栗平25-1,,,,
85,あきた小坂屋！,017-0201,鹿角郡小坂町,小坂字五十刈1-22,,0186-29-2392,3.小売（お土産等）,,https://www.google.com/maps/search/?api=85&query=鹿角郡小坂町小坂字五十刈1-22,,,,
86,ファミリーマート　秋田小坂町店,017-0201,鹿角郡小坂町,小坂字五十刈4-1,,0186-30-7383,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=86&query=鹿角郡小坂町小坂字五十刈4-1,,,,
87,十和田プリンスホテル,018-5511,鹿角郡小坂町,十和田湖西湖畔,,0176-75-3117,21.その他,宿泊施設,https://www.google.com/maps/search/?api=87&query=鹿角郡小坂町十和田湖西湖畔,,,,
88,十和田プリンスホテル　フロント,018-5511,鹿角郡小坂町,十和田湖西湖畔,,0176-75-3117,21.その他,宿泊施設,https://www.google.com/maps/search/?api=88&query=鹿角郡小坂町十和田湖西湖畔,,,,
89,十和田プリンスホテル　売店,018-5511,鹿角郡小坂町,十和田湖西湖畔,,0176-75-3117,3.小売（お土産等）,,https://www.google.com/maps/search/?api=89&query=鹿角郡小坂町十和田湖西湖畔,,,,
90,十和田プリンスホテル　メインダイニングルーム,018-5511,鹿角郡小坂町,十和田湖西湖畔,,0176-75-3117,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=90&query=鹿角郡小坂町十和田湖西湖畔,,,,
91,十和田湖畔ＳＳ,018-5511,鹿角郡小坂町,十和田湖字休平64-6,,0176-75-2701,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=91&query=鹿角郡小坂町十和田湖字休平64-6,,,,
92,ローソン　比内町店,018-5701,大館市,比内町扇田字新長岡１７１‐１,,0186-55-0908,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=92&query=大館市比内町扇田字新長岡１７１‐１,,,,
93,マックハウス大館店,017-0046,大館市,清水5-1,,0186-43-6520,21.その他,衣料品小売業,https://www.google.com/maps/search/?api=93&query=大館市清水5-1,,,,
94,秋田犬の里内　お土産コーナー,017-0044,大館市,御成町1丁目13番1号　,,0186-57-8120,3.小売（お土産等）,,https://www.google.com/maps/search/?api=94&query=大館市御成町1丁目13番1号　,,,,
95,きりたんぽ専門店　元祖むらさき,017-0847,大館市,幸町12-9,,0186-42-0741,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=95&query=大館市幸町12-9,,,,
96,タケダスポーツ大館店,017-0887,大館市,水門町5-1,,0186-42-9365,21.その他,スポーツ用品,https://www.google.com/maps/search/?api=96&query=大館市水門町5-1,,,,
97,（株）大館工芸社,017-0012,大館市,釈迦内字家後29-15,,0186-48-7700,3.小売（お土産等）,,https://www.google.com/maps/search/?api=97&query=大館市釈迦内字家後29-15,,,,
98,大館矢立ハイツ,017-0001,大館市,長走字陣場311,,0186-51-2311,21.その他,宿泊施設,https://www.google.com/maps/search/?api=98&query=大館市長走字陣場311,,,,
99,のみくいや重蔵,017-0846,大館市,常盤木町2-42,,0186-43-5959,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=99&query=大館市常盤木町2-42,,,,
100,佐藤政治書店,018-3505,大館市,早口字上野81-3,,0186-54-2035,21.その他,本屋,https://www.google.com/maps/search/?api=100&query=大館市早口字上野81-3,,,,
101,ホテルルートイン大館大町,017-0841,大館市,大町91-1,,0186-43-6601,21.その他,宿泊施設,https://www.google.com/maps/search/?api=101&query=大館市大町91-1,,,,
102,株式会社あきた六次会,017-0012,大館市,釈迦内字家下9-8,,0186-59-4546,3.小売（お土産等）,,https://www.google.com/maps/search/?api=102&query=大館市釈迦内字家下9-8,,,,
103,（株）工藤米治商店　花岡給油所,017-0005,大館市,花岡町字堤沢67-3,,0186-46-1076,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=103&query=大館市花岡町字堤沢67-3,,,,
104,（株）工藤米治商店　大館ハチ公給油所,018-5751,大館市,二井田字菖蒲沼208,,0186-42-8500,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=104&query=大館市二井田字菖蒲沼208,,,,
105,（株）工藤米治商店　セルフ大館南給油所,017-0835,大館市,小館花字萩野台2-3,,0186-49-2455,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=105&query=大館市小館花字萩野台2-3,,,,
106,（株）工藤米治商店　大館西給油所,017-0864,大館市,根下戸新町1-60,,0186-42-3149,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=106&query=大館市根下戸新町1-60,,,,
107,（株）工藤米治商店　大館東給油所,017-0846,大館市,常盤木町11-30,,0186-49-4076,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=107&query=大館市常盤木町11-30,,,,
108,産直処　さんのう,017-0804,大館市,柄沢字山王台21-2,,0186-42-2105,3.小売（お土産等）,,https://www.google.com/maps/search/?api=108&query=大館市柄沢字山王台21-2,,,,
109,まつむら商店,017-0043,大館市,有浦3-4-15,,0186-99-0023,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=109&query=大館市有浦3-4-15,,,,
110,お好み焼き道とん堀大舘店,017-0837,大館市,餌釣字前田1,,0186-49-8500,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=110&query=大館市餌釣字前田1,,,,
111,トマトアンドオニオン,017-0046,大館市,清水5-1-76,,0186-45-0141,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=111&query=大館市清水5-1-76,,,,
112,赤から大舘店,017-0045,大館市,中道1-7-12,,0186-44-6262,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=112&query=大館市中道1-7-12,,,,
113,乳井石油商会大舘南給油所,017-0862,大館市,根下戸字下袋家後62-7,,0186-43-3292,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=113&query=大館市根下戸字下袋家後62-7,,,,
114,乳井石油商会スーパーセルフ大館ＳＳ,017-0838,大館市,山館字田尻187,,0186-44-5755,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=114&query=大館市山館字田尻187,,,,
115,乳井石油商会24セルフ比内ＳＳ,017-0839,大館市,中山字兎沢66-1,,0186-43-3055,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=115&query=大館市中山字兎沢66-1,,,,
116,ナガハマコーヒー大館店,017-0041,大館市,大田面19,,0186-59-7778,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=116&query=大館市大田面19,,,,
117,薬王堂　大館店,017-0042,大館市,字観音堂420,,0186-42-3388,21.その他,薬局,https://www.google.com/maps/search/?api=117&query=大館市字観音堂420,,,,
118,プラザ杉の子,017-0043,大館市,有浦１－７－５５,,0186-49-3288,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=118&query=大館市有浦１－７－５５,,,,
119,ハッピードラック大館片山店,017-0872,大館市,片山町2丁目25-6,,0186-59-7034,21.その他,ドラッグストア,https://www.google.com/maps/search/?api=119&query=大館市片山町2丁目25-6,,,,
120,ハッピードラック大館比内店,018-5701,大館市,比内町扇田字伊勢堂岱183-1,,0186-59-4719,21.その他,ドラッグストア,https://www.google.com/maps/search/?api=120&query=大館市比内町扇田字伊勢堂岱183-1,,,,
121,イエローハット大館店,017-0864,大館市,根下戸新町8-27,,0186-45-1680,21.その他,自動車用品小売業,https://www.google.com/maps/search/?api=121&query=大館市根下戸新町8-27,,,,
122,酉や喜兵衛　大館店,017-0844,大館市,新町１５,,0186-49-6439,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=122&query=大館市新町１５,,,,
123,魚彦　大館店,017-0895,大館市,字長倉111-2,,0186-43-0046,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=123&query=大館市字長倉111-2,,,,
124,たしろ温泉ユップラ,018-3501,大館市,岩瀬字上岩瀬塚の岱43番１号,,0186-54-2626,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=124&query=大館市岩瀬字上岩瀬塚の岱43番１号,,,,
125,ニッポンレンタカー 大館駅前営業所,017-0044,大館市,御成町１－１３－１０,,0186-49-1170,12.レンタカー,,https://www.google.com/maps/search/?api=125&query=大館市御成町１－１３－１０,,,,
126,駅レンタカー  大館営業所,017-0044,大館市,御成町1-13-10,,0186-57-8255,12.レンタカー,,https://www.google.com/maps/search/?api=126&query=大館市御成町1-13-10,,,,
127,お弁当販売処花善,017-0044,大館市,御成町1-10-2,,0186-43-0870,3.小売（お土産等）,,https://www.google.com/maps/search/?api=127&query=大館市御成町1-10-2,,,,
128,お食事処花善,017-0044,大館市,御成町1-10-2,,0186-43-0870,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=128&query=大館市御成町1-10-2,,,,
129,ツルハドラッグ　大館北店,017-0012,大館市,釈迦内字稲荷山下258,,0186-48-5268,21.その他,薬局,https://www.google.com/maps/search/?api=129&query=大館市釈迦内字稲荷山下258,,,,
130,ツルハドラッグ　大舘南店,017-0837,大館市,餌釣字前田1,,0186-49-8900,21.その他,薬局,https://www.google.com/maps/search/?api=130&query=大館市餌釣字前田1,,,,
131,ツルハドラッグ　大館中道店,017-0045,大館市,中道2-2-54,,0186-59-5268,21.その他,薬局,https://www.google.com/maps/search/?api=131&query=大館市中道2-2-54,,,,
132,ツルハドラッグ　大館東店,017-0041,大館市,大田面31,,0186-45-0268,21.その他,薬局,https://www.google.com/maps/search/?api=132&query=大館市大田面31,,,,
133,ツルハドラッグ　大舘店,017-0872,大館市,片山町3-1-1,,0186-44-5116,21.その他,薬局,https://www.google.com/maps/search/?api=133&query=大館市片山町3-1-1,,,,
